Author: Vinit Patel
Class: CMSC-416-001-2021Spring
Date: 03/16/2021
Tagger and Scorer
========================
Correct: 48500
Incorrect: 8324
-----------------
Total: 56824

Accuracy: 85.35%
-----------------
Confusion Matrix:
Actual       /#   /$  /''  /(  /)    /,    /.   /:   /CC   /CD   /DT  /EX  /FW   /IN   /JJ  /JJR  /JJS  /LS  /MD   /NN  /NNP  /NNPS  /NNS  /PDT  /POS  /PRP  /PRP$   /RB  /RBR  /RBS  /RP  /SYM   /TO  /UH   /VB  /VBD  /VBG  /VBN  /VBP  /VBZ  /WDT  /WP  /WP$  /WRB  /``
Predictions                                                                                                                                                                                                                                                               
/#            5    0    0   0   0     0     0    0     0     0     0    0    0     0     0     0     0    0    0     0     0      0     0     0     0     0      0     0     0     0    0     0     0    0     0     0     0     0     0     0     0    0     0     0    0
/$            0  371    0   0   0     0     0    0     0     0     0    0    0     0     0     0     0    0    0     0     0      0     0     0     0     0      0     0     0     0    0     0     0    0     0     0     0     0     0     0     0    0     0     0    0
/''           0    0  528   0   0     0     0    0     0     0     0    0    0     0     0     0     0    0    0     0     0      0     0     0     0     0      0     0     0     0    0     0     0    0     0     0     0     0     0     0     0    0     0     0    0
/(            0    0    0  76   0     0     0    0     0     0     0    0    0     0     0     0     0    0    0     0     0      0     0     0     0     0      0     0     0     0    0     0     0    0     0     0     0     0     0     0     0    0     0     0    0
/)            0    0    0   0  76     0     0    0     0     0     0    0    0     0     0     0     0    0    0     0     0      0     0     0     0     0      0     0     0     0    0     0     0    0     0     0     0     0     0     0     0    0     0     0    0
/,            0    0    0   0   0  3070     0    0     0     0     0    0    0     0     0     0     0    0    0     0     0      0     0     0     0     0      0     0     0     0    0     0     0    0     0     0     0     0     0     0     0    0     0     0    0
/.            0    0    0   0   0     0  2363    0     0     0     0    0    0     0     0     0     0    0    0     0     0      0     0     0     0     0      0     0     0     0    0     0     0    0     0     0     0     0     0     0     0    0     0     0    0
/:            0    0    0   0   0     0     0  336     0     0     0    0    0     0     0     0     0    0    0     0     0      0     0     0     0     0      0     0     0     0    0     0     0    0     0     0     0     0     0     0     0    0     0     0    0
/CC           0    0    0   0   0     0     0    0  1364     0     0    0    0     0     0     0     0    0    0     2     0      0     0     0     0     0      0     6     0     0    0     0     0    0     0     0     0     0     0     0     0    0     0     0    0
/CD           0    0    0   0   0     0     0    0     0  1926     0    0    0     0    63     0     0    4    0     7    28      1    19     0     0     6      0     0     0     0    0     0     0    0     0     0     0     0     0     0     0    0     0     0    0
/DT           0    0    0   0   0     0     0    0     8     0  4747    0    0     4     0     0     0    0    0     0     5      0     0    11     0     0      0    11     0     0    0     0     0    1     0     0     0     0     0     0     0    0     0     0    0
/EX           0    0    0   0   0     0     0    0     0     0     0   57    0     0     0     0     0    0    0     0     0      0     0     0     0     0      0     6     0     0    0     0     0    0     0     0     0     0     0     0     0    0     0     0    0
/IN           0    0    0   0   0     0     0    0     0     0    68    0    0  5764     4     0     0    0    0     6     1      0     0     0     0     0      0   172     0     0   38     0     0    0     4     0     0     0     1     0   138    0     0     0    0
/JJ           0    0    0   0   0     0     0    0     0     0     2    0    0    10  2295     1     0    0    0    97    85      5    16     4     0     0      0    50     2     0    0     0     0    0    23     5     0     6     4     0     0    0     0     0    0
/JJR          0    0    0   0   0     0     0    0     0     0     0    0    0     0     0   102     0    0    0     0     1      0     0     0     0     0      0     0    42     0    0     0     0    0     1     0     0     0     0     0     0    0     0     0    0
/JJS          0    0    0   0   0     0     0    0     0     0     0    0    0     0     0     0   117    0    0     0     0      0     0     0     0     0      0     2     0    30    0     0     0    0     0     0     0     0     0     0     0    0     0     0    0
/MD           0    0    0   0   0     0     0    0     0     0     0    0    0     0     0     0     0    0  582     3     0      0     0     0     0     0      0     0     0     0    0     0     0    0     0     0     0     0     0     0     0    0     0     0    0
/NN           0    4    0   0   0     0     0    0     0     9     2    0   19    16   910    16    11    0    2  6802  2251     18   714     3     0     0      3    56     2     0    2     1     0    4   178   144     1   202    87   100     2    0     0     1    0
/NNP          0    0    0   0   0     0     0    0     0     0     0    0    1     0    23     1     0    0    0    42  3400      0     9     0     0     0      0     0     0     0    0     0     0    0     0     0     0     0     1     0     0    0     0     0    0
/NNPS         0    0    0   0   0     0     0    0     0     0     0    0    0     0     0     0     0    0    0     0    48     10     7     0     0     0      0     0     0     0    0     0     0    0     0     0     0     0     0     0     0    0     0     0    0
/NNS          0    0    0   0   0     0     0    0     0     0     0    0    0     0     0     0     0    0    0     7    11      8  2641     0     0     0      0     0     0     0    0     0     0    0     0     0     0     0     0    40     0    0     0     0    0
/POS          0    0    5   0   0     0     0    0     0     0     0    0    0     0     0     0     0    0    0     0     0      0     0     0   551     0      0     0     0     0    0     0     0    0     0     0     0     0     0    77     0    0     0     0    0
