id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
815346797379981313,815346797379981313,2016-12-31 18:59:59 EST,2016-12-31,18:59:59,-0500,221088655,flairsnia,sarah 𑁍,,goals for 2017; - love myself - graduate - be happy,en,[],[],[],1,0,2,[],[],https://twitter.com/flairsnia/status/815346797379981313,False,,0,,,,,,,,[],,,,
815346795479990273,815346795479990273,2016-12-31 18:59:59 EST,2016-12-31,18:59:59,-0500,3222887936,moonchlldmonl,nee⁷ 🍂,,2017 goals: + finish last semester of high school strong + get into college + learn to drive + get a part-time + get healthier? uh,en,[],[],[],1,0,2,[],[],https://twitter.com/MOONCHlLDMONl/status/815346795479990273,False,,0,,,,,,,,[],,,,
815346791608483841,815346791608483841,2016-12-31 18:59:58 EST,2016-12-31,18:59:58,-0500,134569674,boringasiangirl,Bianca,,"Not going to lie, I am sad that I'm not ringing in the new year at Lights All Night. Maybe next time I'm there, I perform. #goals",en,[],[],[],0,0,0,['goals'],[],https://twitter.com/boringasiangirl/status/815346791608483841,False,,0,,,,,,,,[],,,,
815346790035767296,815346790035767296,2016-12-31 18:59:57 EST,2016-12-31,18:59:57,-0500,141065342,weloveuahhockey,UAHHockey.com,,No goal. Still 2-2. 7:37 to go.,en,[],[],[],0,0,2,[],[],https://twitter.com/weloveuahhockey/status/815346790035767296,False,,0,,,,,,,,[],,,,
815346786621648897,815346786621648897,2016-12-31 18:59:56 EST,2016-12-31,18:59:56,-0500,635235330,arulpradeep93,ARUL PRADEEP,,Pancake Goals  https://t.co/UUGpeV8FTG,en,[],['https://twitter.com/ItsFoodPorn/status/815346657512529922/photo/1'],[],0,0,0,[],[],https://twitter.com/ArulPradeep93/status/815346786621648897,False,,0,,,,,,,,[],,,,
815346785212239873,815346785212239873,2016-12-31 18:59:56 EST,2016-12-31,18:59:56,-0500,23891063,lukastyle,wayne scot lukas,,regrann from @jaliscolosaltos  -  Goals✨👌🏽 - #regrann  https://t.co/5911mTftAz,en,"[{'screen_name': 'jaliscolosaltos', 'name': 'miguel castellanos', 'id': '369286475'}]",['https://www.instagram.com/p/BOs2pp4hG_2/'],[],0,0,0,['regrann'],[],https://twitter.com/lukastyle/status/815346785212239873,False,,0,,,,,,,,[],,,,
815346783433924608,815346783433924608,2016-12-31 18:59:56 EST,2016-12-31,18:59:56,-0500,2685210009,hassan_farg14,Hassan farg,,Retweeted John Arne Riise (@JARiiseOfficial):  2017 will be great! Starting from today 👏🏻👊🏻New goals and new ideas! Let's go,en,"[{'screen_name': 'jariiseofficial', 'name': 'john arne riise', 'id': '2988033940'}]",[],[],0,0,0,[],[],https://twitter.com/Hassan_Farg14/status/815346783433924608,False,,0,,,,,,,,[],,,,
815346778904133636,815346778904133636,2016-12-31 18:59:55 EST,2016-12-31,18:59:55,-0500,3019462030,juliatylerart,Julia Tyler,,Goal: look badass enough so the straight men in this bar know I'm out of their league. 💅  https://t.co/2LlR2z84cb,en,[],[],"['https://pbs.twimg.com/media/C1CxkOdVQAAKOUW.jpg', 'https://pbs.twimg.com/media/C1CxkOgUcAAy8fy.jpg']",3,0,24,[],[],https://twitter.com/juliatylerart/status/815346778904133636,False,,1,https://pbs.twimg.com/media/C1CxkOdVQAAKOUW.jpg,,,,,,,[],,,,
815346778056851456,815346778056851456,2016-12-31 18:59:54 EST,2016-12-31,18:59:54,-0500,3032937876,zombievomitz89,Zombievomitz,,@TwitchExposure Streaming with the lovely Mandicane! Giveaway at my goal! 7 Days to Die!  https://t.co/L8Z2HWpcv8  https://t.co/D5bH2gYEnO,en,[],['https://www.twitch.tv/zombievomitz'],['https://pbs.twimg.com/media/C1Cxi03UcAAchBP.jpg'],0,0,0,[],[],https://twitter.com/Zombievomitz89/status/815346778056851456,False,,1,https://pbs.twimg.com/media/C1Cxi03UcAAchBP.jpg,,,,,,,[],,,,
815346775141871616,815346775141871616,2016-12-31 18:59:54 EST,2016-12-31,18:59:54,-0500,487098392,shma_shma16,Kimothy Shma,,"""You know what would make hockey better? If there was a full orchestra seated just behind the goal"" okay Rachel",en,[],[],[],0,0,2,[],[],https://twitter.com/shma_shma16/status/815346775141871616,False,,0,,,,,,,,[],,,,
