id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
153263933090828289,153263933090828289,2011-12-31 18:59:03 EST,2011-12-31,18:59:03,-0500,358862869,milky_onions,Milky Onions,,"2011 confesion, I wiped my bum with receipts out of my wallet.",en,[],[],[],1,0,0,[],[],https://twitter.com/Milky_Onions/status/153263933090828289,False,,0,,,,,,,,[],,,,
153263770423144448,153263770423144448,2011-12-31 18:58:25 EST,2011-12-31,18:58:25,-0500,367240615,bcsubpoenanews,BC Subpoena News,,"Receipt for In Camera Filing, 21 December 2011  http://t.co/jkcxC9Eg",en,[],['http://wp.me/p1GC8K-gr'],[],0,0,0,[],[],https://twitter.com/BCSubpoenaNews/status/153263770423144448,False,,0,,,,,,,,[],,,,
153263743306973185,153263743306973185,2011-12-31 18:58:18 EST,2011-12-31,18:58:18,-0500,270069938,hannahmenger,Hannah Menger,,We don't have a newspaper but sometimes I just read a receipt. I like to get a feel for daily life #marceltheshell,en,[],[],[],0,1,0,['marceltheshell'],[],https://twitter.com/hannahmenger/status/153263743306973185,False,,0,,,,,,,,[],,,,
153263427945631744,153263427945631744,2011-12-31 18:57:03 EST,2011-12-31,18:57:03,-0500,18481846,marrathon,Dave Marra,,"Cool iOS 5 Tip: To notify others when you've read their iMessage message, open Settings, go to Messages and turn ""Send Read Receipts"" to ON.",en,[],[],[],0,0,0,[],[],https://twitter.com/marrathon/status/153263427945631744,False,,0,,,,,,,,[],,,,
153263269937811456,153263269937811456,2011-12-31 18:56:25 EST,2011-12-31,18:56:25,-0500,129234489,ftkl,Ticklante ❌,,@feetnews Next buyer at  http://t.co/XTVdTj1u gets 3 free clips! Just email me your sales order # from your email receipt. #feet #tickling,en,[],['http://www.clips4sale.com/29443'],[],0,1,0,"['feet', 'tickling']",[],https://twitter.com/FTKL/status/153263269937811456,False,,0,,,,,,,,[],,,,
153263205219713026,153263205219713026,2011-12-31 18:56:10 EST,2011-12-31,18:56:10,-0500,85231581,djfacemusic,DJ Face (DJ/Producer),,So I pull this jacket out of my closet and find a receipt in the pocket from 12/30/06...time to give away the jacket? Lol!,en,[],[],[],0,0,0,[],[],https://twitter.com/djfacemusic/status/153263205219713026,False,,0,,,,,,,,[],,,,
153263190300573697,153263190300573697,2011-12-31 18:56:06 EST,2011-12-31,18:56:06,-0500,196765772,doingithomeless,Mooch,,#blog Always Keep Your Receipts  http://t.co/hh3QFAs2 still doing this weekly!,en,[],['http://doingithomeless.com/always-keep-your-receipts/'],[],0,0,0,['blog'],[],https://twitter.com/doingithomeless/status/153263190300573697,False,,0,,,,,,,,[],,,,
153263132721156097,153263132721156097,2011-12-31 18:55:52 EST,2011-12-31,18:55:52,-0500,367240615,bcsubpoenanews,BC Subpoena News,,"Receipt for In Camera Filing, 21 December 2011  http://t.co/vpRgYzxp",en,[],['http://wp.me/p1GC8K-gp'],[],0,0,0,[],[],https://twitter.com/BCSubpoenaNews/status/153263132721156097,False,,0,,,,,,,,[],,,,
153263045504811008,153263045504811008,2011-12-31 18:55:32 EST,2011-12-31,18:55:32,-0500,45021984,invictus_rex,🦂🔥🍁🚀,,Its Kinda Hard Saying This Shit To Ya Face So I Do It Over Snares And Bass...#Receipt,en,[],[],[],0,0,0,['receipt'],[],https://twitter.com/Invictus_Rex/status/153263045504811008,False,,0,,,,,,,,[],,,,
153262621657792514,153262621657792514,2011-12-31 18:53:51 EST,2011-12-31,18:53:51,-0500,125890325,np_prod,NP PROD,,And now the top twenty when based on box office receipts tallied outside of the US.  20. Super 8 $132.9 million...  http://t.co/BtIRyLW,en,[],['http://fb.me/LYHhY8Op'],[],0,0,0,[],[],https://twitter.com/NP_PROD/status/153262621657792514,False,,0,,,,,,,,[],,,,
