id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
550441111286996992,550441111286996992,2014-12-31 18:59:22 EST,2014-12-31,18:59:22,-0500,250176730,bedroom_bandit,Born in Trinidad™,,No shade No shade,en,[],[],[],0,0,0,[],[],https://twitter.com/BedRoom_Bandit/status/550441111286996992,False,,0,,,,,,,,[],,,,
550441091103617025,550441091103617025,2014-12-31 18:59:17 EST,2014-12-31,18:59:17,-0500,1365729024,lokievilschemes,Loki,,"I remember a shadow, living in the shade of your greatness. I remember you tossing me into an abyss, I, who should have been king! #bot",en,[],[],[],0,0,0,['bot'],[],https://twitter.com/LokiEvilSchemes/status/550441091103617025,False,,0,,,,,,,,[],,,,
550440997876793344,550440997876793344,2014-12-31 18:58:55 EST,2014-12-31,18:58:55,-0500,1611204192,gigalibera,✧Giga✧,,"@konpeitopanic hoes throwin shade at you anon on tumblr and ure like ""lol idgaf i do what i want""",en,[],[],[],1,0,1,[],[],https://twitter.com/gigalibera/status/550440997876793344,False,,0,,,,,,,,[],,,,
550440918177042433,550439229281828865,2014-12-31 18:58:36 EST,2014-12-31,18:58:36,-0500,227434802,kayseadilla,Kaysey McGrath,,@_taylortrimble love the shade. all hail Taylor 🙌🙌,en,[],[],[],0,0,0,[],[],https://twitter.com/kayseadilla/status/550440918177042433,False,,0,,,,,,,,[],,,,
550440852485857280,550436973337673728,2014-12-31 18:58:20 EST,2014-12-31,18:58:20,-0500,561715516,hollowtide,ʜᴏʟʟᴏᴡᴛɪᴅᴇ,,@KingHippee I'm not throwing shade lol,en,[],[],[],0,0,0,[],[],https://twitter.com/Hollowtide/status/550440852485857280,False,,0,,,,,,,,[],,,,
550440801428570113,550440801428570113,2014-12-31 18:58:08 EST,2014-12-31,18:58:08,-0500,78993688,whoisillwill,⚡LLNE💰💰,,Not goin to let da ugly dark clouds throw shade #FEELME,en,[],[],[],0,0,0,['feelme'],[],https://twitter.com/WHOISILLWILL/status/550440801428570113,False,,0,,,,,,,,[],,,,
550440585450897408,550440585450897408,2014-12-31 18:57:16 EST,2014-12-31,18:57:16,-0500,484048267,outsiderofvoid,Mark,,I liked a @YouTube video from @dh_shade  http://t.co/jA2Dq2XnsC New year!! 2015,en,"[{'screen_name': 'youtube', 'name': 'youtube', 'id': '10228272'}]",['http://youtu.be/LzzHMuU6dMY?a'],[],0,0,0,[],[],https://twitter.com/OutsiderofVoid/status/550440585450897408,False,,0,,,,,,,,[],,,,
550440525569204224,550440525569204224,2014-12-31 18:57:02 EST,2014-12-31,18:57:02,-0500,2950941084,g4y_0,G4Y,,No shade to your favs but Logan Lerman is the mayor bae  http://t.co/ge01OKq1Wd,en,[],[],['https://pbs.twimg.com/media/B6OOt6OIgAAh-N3.jpg'],0,0,4,[],[],https://twitter.com/G4Y_0/status/550440525569204224,False,,1,https://pbs.twimg.com/media/B6OOt6OIgAAh-N3.jpg,,,,,,,[],,,,
550440489892454400,550436048829153280,2014-12-31 18:56:54 EST,2014-12-31,18:56:54,-0500,160437111,imjus_niecey,Finessa Simmons,,“@dez1thing: Big fines dissed Smush lmfaooooooooooo” shade,en,"[{'screen_name': 'dez1thing', 'name': 'willie d', 'id': '426265114'}]",[],[],1,0,0,[],[],https://twitter.com/Imjus_Niecey/status/550440489892454400,False,,0,,,,,,,,[],,,,
550440475359215618,550440475359215618,2014-12-31 18:56:50 EST,2014-12-31,18:56:50,-0500,139655838,shade_y,Ric,,"2014 was good, 2015 will be better",en,[],[],[],0,0,0,[],[],https://twitter.com/Shade_y/status/550440475359215618,False,,0,,,,,,,,[],,,,
550440406832664576,550440406832664576,2014-12-31 18:56:34 EST,2014-12-31,18:56:34,-0500,1526910925,jusunofufu,J͓̽ひS͓̽ひ,,#DestinyCompanion new shade  http://t.co/3EHKV74KxU,en,[],[],['https://pbs.twimg.com/media/B6OOoi5IMAIeYmr.jpg'],0,0,0,['destinycompanion'],[],https://twitter.com/jusunofufu/status/550440406832664576,False,,1,https://pbs.twimg.com/media/B6OOoi5IMAIeYmr.jpg,,,,,,,[],,,,
550440374507143168,550440374507143168,2014-12-31 18:56:26 EST,2014-12-31,18:56:26,-0500,88789006,dianadirty__,•Dirty Diana•,,Mfers get so used to throwing shade they forget how say shit to your face.,en,[],[],[],0,1,1,[],[],https://twitter.com/DianaDirty__/status/550440374507143168,False,,0,,,,,,,,[],,,,
550440363731996673,550440363731996673,2014-12-31 18:56:24 EST,2014-12-31,18:56:24,-0500,1979142714,sleepgear,Sleep Gear,,New Eye Mask Shade Nap Cover Blindfold Sleeping Eyeshade Blinder Travel Black PH  http://t.co/1NW0vC42tH #sleep,en,[],['http://ift.tt/1K2DIoo'],[],0,0,0,['sleep'],[],https://twitter.com/SleepGear/status/550440363731996673,False,,0,,,,,,,,[],,,,
550440356508999681,550440356508999681,2014-12-31 18:56:22 EST,2014-12-31,18:56:22,-0500,2362064660,joelholmes72,Joel Holmes,,Subtweet 15: your snapchats have so much shade,en,[],[],[],1,0,0,[],[],https://twitter.com/joelholmes72/status/550440356508999681,False,,0,,,,,,,,[],,,,
550440261097385984,550440261097385984,2014-12-31 18:55:59 EST,2014-12-31,18:55:59,-0500,2731950793,inhashtag,Indiahashtag,,#3: 22cm Creamish Conical Wall Hanging Lamp Shade           http://t.co/cARxAmZCWB  http://t.co/s7BQLgOKnJ,en,[],['http://ift.tt/1vv6CTb'],['https://pbs.twimg.com/media/B6OOgEaIUAI7fJr.jpg'],0,0,0,[],[],https://twitter.com/INhashtag/status/550440261097385984,False,,1,https://pbs.twimg.com/media/B6OOgEaIUAI7fJr.jpg,,,,,,,[],,,,
550440202410659841,550440202410659841,2014-12-31 18:55:45 EST,2014-12-31,18:55:45,-0500,139655838,shade_y,Ric,,Yes.......you read right.,en,[],[],[],0,0,0,[],[],https://twitter.com/Shade_y/status/550440202410659841,False,,0,,,,,,,,[],,,,
550440167660871680,550440167660871680,2014-12-31 18:55:37 EST,2014-12-31,18:55:37,-0500,2277444901,propertiesreal,Real Properties,,#bbq #tailgate #smoker #ribs  http://t.co/LgIoFzh92v 10' x 20' BLUE TARP COVER PATIO SHADE Canopy BBQ Grill Pati...  http://t.co/4TBqFdJrYi,en,[],['http://ift.tt/1zy10Kl'],['https://pbs.twimg.com/media/B6OOaoPIAAARxXC.jpg'],0,1,1,"['bbq', 'tailgate', 'smoker', 'ribs']",[],https://twitter.com/PropertiesReal/status/550440167660871680,False,,1,https://pbs.twimg.com/media/B6OOaoPIAAARxXC.jpg,,,,,,,[],,,,
550440127965986816,550440127965986816,2014-12-31 18:55:27 EST,2014-12-31,18:55:27,-0500,510872449,flash_shade,flashade,,@jesushouseuk @agu_irukwu - Let the Lord's counsel stand  http://t.co/lhTlSoNxCQ,en,"[{'screen_name': 'agu_irukwu', 'name': 'agu irukwu', 'id': '1268420490'}]",[],['https://pbs.twimg.com/media/B6OOYUYIEAADnwk.jpg'],1,1,1,[],[],https://twitter.com/flash_shade/status/550440127965986816,False,,1,https://pbs.twimg.com/media/B6OOYUYIEAADnwk.jpg,,,,,,,[],,,,
550440121233711104,550440121233711104,2014-12-31 18:55:26 EST,2014-12-31,18:55:26,-0500,30306191,shanise_speaks,Kendall Roy Stan Account,,"Ej's tweet had to be shade, because it seemed like shade and if he's winning the shade game then i'm down",en,[],[],[],0,0,0,[],[],https://twitter.com/Shanise_Speaks/status/550440121233711104,False,,0,,,,,,,,[],,,,
550440079274278912,550440079274278912,2014-12-31 18:55:16 EST,2014-12-31,18:55:16,-0500,38359237,davethewebguy,David Pinero,,As a matter of.courtesy show up with your own lamp shade.  http://t.co/x3XAOfTike,en,[],[],['https://pbs.twimg.com/media/B6OOVCRIEAATNU3.jpg'],0,0,0,[],[],https://twitter.com/DaveTheWebGuy/status/550440079274278912,False,,1,https://pbs.twimg.com/media/B6OOVCRIEAATNU3.jpg,,,,,,,[],,,,
550440075365203969,550440075365203969,2014-12-31 18:55:15 EST,2014-12-31,18:55:15,-0500,1976664072,_arickaaa,King Mom ✨,,"no shade you just need to slow it down hunty , babies are blessings not to keep a nigga",en,[],[],[],0,0,0,[],[],https://twitter.com/_arickaaa/status/550440075365203969,False,,0,,,,,,,,[],,,,
550440065009451009,550440065009451009,2014-12-31 18:55:12 EST,2014-12-31,18:55:12,-0500,139655838,shade_y,Ric,,In Church...,en,[],[],[],0,0,0,[],[],https://twitter.com/Shade_y/status/550440065009451009,False,,0,,,,,,,,[],,,,
550440021199568898,550440021199568898,2014-12-31 18:55:02 EST,2014-12-31,18:55:02,-0500,2907077805,oberonbot,Oberon,,"222:889 Then, my queen, in silence sad, Trip we after night's shade. We the globe can compass soon, #AMNDBots",en,[],[],[],0,0,0,['amndbots'],[],https://twitter.com/OberonBot/status/550440021199568898,False,,0,,,,,,,,[],,,,
550439967554822144,550439967554822144,2014-12-31 18:54:49 EST,2014-12-31,18:54:49,-0500,2930634061,youniquebytammy,Tammy Nava,,Younique Shade Stick...  http://t.co/nlWNT1KfZW,en,[],['http://fb.me/3greuRYuY'],[],0,0,0,[],[],https://twitter.com/YouniqueByTammy/status/550439967554822144,False,,0,,,,,,,,[],,,,
550439729876201472,550439729876201472,2014-12-31 18:53:52 EST,2014-12-31,18:53:52,-0500,2930634061,youniquebytammy,Tammy Nava,,Choosing the right shade for YOU!,en,[],[],[],0,0,0,[],[],https://twitter.com/YouniqueByTammy/status/550439729876201472,False,,0,,,,,,,,[],,,,
550439719214256128,550439719214256128,2014-12-31 18:53:50 EST,2014-12-31,18:53:50,-0500,1429616432,tess_ebooks,The Real Tess,,when i say why did i say that shade of sunshine looks fabulous on u,en,[],[],[],1,0,0,[],[],https://twitter.com/tess_ebooks/status/550439719214256128,False,,0,,,,,,,,[],,,,
550439677035937792,550438360993390592,2014-12-31 18:53:40 EST,2014-12-31,18:53:40,-0500,8227822,tinydinosaurs,Lt. L.T. Deer,,@Shade_Nox I like to keep them guessing,en,[],[],[],0,0,0,[],[],https://twitter.com/tinydinosaurs/status/550439677035937792,False,,0,,,,,,,,[],,,,
550439573520941056,550435685178806272,2014-12-31 18:53:15 EST,2014-12-31,18:53:15,-0500,403884560,kellyoconnor6,Kelly O'Connor,,@MaggieEna97 nana doesn't even try to hide her shade,en,[],[],[],0,0,1,[],[],https://twitter.com/KellyOConnor6/status/550439573520941056,False,,0,,,,,,,,[],,,,
550439559813935104,550438360993390592,2014-12-31 18:53:12 EST,2014-12-31,18:53:12,-0500,2839408042,shade_nox,Anarchy Goose,,@tinydinosaurs Don't they know not to take you seriously?,en,[],[],[],1,0,1,[],[],https://twitter.com/Shade_Nox/status/550439559813935104,False,,0,,,,,,,,[],,,,
