id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
20992525598724097,20992525598724097,2010-12-31 18:59:42 EST,2010-12-31,18:59:42,-0500,99649129,nama_slay,Lauren 🌻,,RT @RareToFindxo Idk about you but I'm bringing in the New Year right,en,"[{'screen_name': 'raretofindxo', 'name': 'elizabeth taylorrr', 'id': '30785105'}]",[],[],0,0,0,[],[],https://twitter.com/nama_SLAY/status/20992525598724097,False,,0,,,,,,,,[],,,,
20992428169232384,20992428169232384,2010-12-31 18:59:19 EST,2010-12-31,18:59:19,-0500,228471387,mr_burns_bot,C. Montgomery Burns,,Family. Religion. Friendship. These are the three demons you must slay if you wish to succeed in business.,en,[],[],[],0,0,0,[],[],https://twitter.com/mr_burns_bot/status/20992428169232384,False,,0,,,,,,,,[],,,,
20991622669926400,20991519959810048,2010-12-31 18:56:07 EST,2010-12-31,18:56:07,-0500,232470887,bigaddi14,“my momma said no”,,@Simply_ZoeB slay jk jk wassup??,en,[],[],[],0,0,0,[],[],https://twitter.com/BigAddi14/status/20991622669926400,False,,0,,,,,,,,[],,,,
20991001954885632,20991001954885632,2010-12-31 18:53:39 EST,2010-12-31,18:53:39,-0500,28294160,5hai_,Shai,,Leeetts Gooo UCF Liberty Bowl Champs!! #KNIGHTS @CoreyAfriat @A_Dubbb @yonidbaby @A3Rompza @brandonkessler @Iggy_Slay @danielmawardi,en,"[{'screen_name': 'coreyafriat', 'name': 'corey afriat', 'id': '30037385'}, {'screen_name': 'a_dubbb', 'name': 'adam weinstein', 'id': '172773802'}, {'screen_name': 'brandonkessler', 'name': 'brandon kessler', 'id': '16634900'}, {'screen_name': 'iggy_slay', 'name': '.', 'id': '738438522743492608'}, {'screen_name': 'danielmawardi', 'name': 'daniel mawardi', 'id': '927382530256461824'}]",[],[],0,0,0,['knights'],[],https://twitter.com/5hai_/status/20991001954885632,False,,0,,,,,,,,[],,,,
20990644478545920,20990644478545920,2010-12-31 18:52:14 EST,2010-12-31,18:52:14,-0500,18444246,roknowledge,Ned Slanders,,Salute to the homie @Sugabear1015!  Much success to ya brother!  I know ur gonna slay em!,en,[],[],[],0,0,0,[],[],https://twitter.com/Roknowledge/status/20990644478545920,False,,0,,,,,,,,[],,,,
20990278974316544,20990278974316544,2010-12-31 18:50:47 EST,2010-12-31,18:50:47,-0500,41642997,lawadz1,Law,,"RT @AFFIONCROCKETT: ""At this VERY MOMENT I'm KING. At this very moment I SLAY GOLIATH with the SLING. "" -@NICKIMINAJ",en,"[{'screen_name': 'affioncrockett', 'name': 'affion crockett', 'id': '40626514'}, {'screen_name': 'nickiminaj', 'name': 'mrs. petty', 'id': '35787166'}]",[],[],0,0,0,[],[],https://twitter.com/lawadz1/status/20990278974316544,False,,0,,,,,,,,[],,,,
20989855941001216,20989855941001216,2010-12-31 18:49:06 EST,2010-12-31,18:49:06,-0500,21322527,igot5orrrrrnit,Yehudit,,"......@corruptedmelon @ISnatchWigs. YOU GUYS SLAY MY LIFE. Thankyou @amrit_core @rae_raeb, @hooversuperstar @carldn &lt;----The dudes",en,"[{'screen_name': 'corruptedmelon', 'name': 'corrupted melons', 'id': '4851985862'}, {'screen_name': 'isnatchwigs', 'name': '🇱🇨🇯🇲 all black lives matter', 'id': '28587544'}, {'screen_name': 'rae_raeb', 'name': 'rae', 'id': '2722914211'}, {'screen_name': 'carldn', 'name': 'carl d', 'id': '594749386'}]",[],[],0,1,0,[],[],https://twitter.com/IGot5orrrrrnIt/status/20989855941001216,False,,0,,,,,,,,[],,,,
20989527011102720,20989527011102720,2010-12-31 18:47:47 EST,2010-12-31,18:47:47,-0500,71060273,str8tiffnochase,Tiffany ❤,,"RT @AFFIONCROCKETT ""At this VERY MOMENT I'm KING. At this very moment I SLAY GOLIATH with the SLING. "" -@NICKIMINAJ",en,"[{'screen_name': 'affioncrockett', 'name': 'affion crockett', 'id': '40626514'}, {'screen_name': 'nickiminaj', 'name': 'mrs. petty', 'id': '35787166'}]",[],[],0,0,0,[],[],https://twitter.com/str8TIFFnoCHASE/status/20989527011102720,False,,0,,,,,,,,[],,,,
20989341371207680,20989341371207680,2010-12-31 18:47:03 EST,2010-12-31,18:47:03,-0500,146676955,sirmajesty_,♚ Barry J ♚,,"RT @AFFIONCROCKETT: ""At this VERY MOMENT I'm KING. At this very moment I SLAY GOLIATH with the SLING. "" -@NICKIMINAJ",en,"[{'screen_name': 'affioncrockett', 'name': 'affion crockett', 'id': '40626514'}, {'screen_name': 'nickiminaj', 'name': 'mrs. petty', 'id': '35787166'}]",[],[],0,0,0,[],[],https://twitter.com/SiRMaJesty_/status/20989341371207680,False,,0,,,,,,,,[],,,,
20989334995865600,20989334995865600,2010-12-31 18:47:02 EST,2010-12-31,18:47:02,-0500,30317968,shatinaa__,Summer.  ✨,,"RT @IfLookzCuldKill: RT @AFFIONCROCKETT: ""At this VERY MOMENT I'm KING. At this very moment I SLAY GOLIATH with the SLING. "" -@NICKIMINAJ",en,"[{'screen_name': 'affioncrockett', 'name': 'affion crockett', 'id': '40626514'}, {'screen_name': 'nickiminaj', 'name': 'mrs. petty', 'id': '35787166'}]",[],[],0,0,0,[],[],https://twitter.com/Shatinaa__/status/20989334995865600,False,,0,,,,,,,,[],,,,
